Country,ImagesFileName,Alpha3,Region,SubRegion
Senegal,Flag_of_Senegal.png,SEN,Africa,Sub-Saharan Africa
Serbia,Flag_of_Serbia.png,SRB,Europe,Southern Europe
Seychelles,Flag_of_Seychelles.png,SYC,Africa,Sub-Saharan Africa
Sierra Leone,Flag_of_Sierra_Leone.png,SLE,Africa,Sub-Saharan Africa
Singapore,Flag_of_Singapore.png,SGP,Asia,South-eastern Asia
Slovakia,Flag_of_Slovakia.png,SVK,Europe,Eastern Europe
Slovenia,Flag_of_Slovenia.png,SVN,Europe,Southern Europe
Solomon Islands,Flag_of_the_Solomon_Islands.png,SLB,Oceania,Melanesia
Somalia,Flag_of_Somalia.png,SOM,Africa,Sub-Saharan Africa
South Africa,Flag_of_South_Africa.png,ZAF,Africa,Sub-Saharan Africa
South Sudan,Flag_of_South_Sudan.png,SSD,Africa,Sub-Saharan Africa
Spain,Flag_of_Spain.png,ESP,Europe,Southern Europe
Sri Lanka,Flag_of_Sri_Lanka.png,LKA,Asia,Southern Asia
Sudan,Flag_of_Sudan.png,SDN,Africa,Northern Africa
Suriname,Flag_of_Suriname.png,SUR,Americas,Latin America and the Caribbean
Sweden,Flag_of_Sweden.png,SWE,Europe,Northern Europe
Switzerland,Flag_of_Switzerland_(Pantone).png,CHE,Europe,Western Europe
Syria,Flag_of_Syria.png,SYR,Asia,Western Asia
Tajikistan,Flag_of_Tajikistan.png,TJK,Asia,Central Asia
Tanzania,Flag_of_Tanzania.png,TZA,Africa,Sub-Saharan Africa
Thailand,Flag_of_Thailand.png,THA,Asia,South-eastern Asia
Togo,Flag_of_Togo.png,TGO,Africa,Sub-Saharan Africa
Tonga,Flag_of_Tonga.png,TON,Oceania,Polynesia
Trinidad and Tobago,Flag_of_Trinidad_and_Tobago.png,TTO,Americas,Latin America and the Caribbean
Tunisia,Flag_of_Tunisia.png,TUN,Africa,Northern Africa
Turkey,Flag_of_Turkey.png,TUR,Asia,Western Asia
Turkmenistan,Flag_of_Turkmenistan.png,TKM,Asia,Central Asia
Tuvalu,Flag_of_Tuvalu.png,TUV,Oceania,Polynesia
Uganda,Flag_of_Uganda.png,UGA,Africa,Sub-Saharan Africa
Ukraine,Flag_of_Ukraine.png,UKR,Europe,Eastern Europe
United Arab Emirates,Flag_of_the_United_Arab_Emirates.png,ARE,Asia,Western Asia
United Kingdom,Flag_of_the_United_Kingdom.png,GBR,Europe,Northern Europe
United States,Flag_of_the_United_States.png,USA,Americas,Northern America
Uruguay,Flag_of_Uruguay.png,URY,Americas,Latin America and the Caribbean
Uzbekistan,Flag_of_Uzbekistan.png,UZB,Asia,Central Asia
Vanuatu,Flag_of_Vanuatu.png,VUT,Oceania,Melanesia
Venezuela,Flag_of_Venezuela.png,VEN,Americas,Latin America and the Caribbean
Vietnam,Flag_of_Vietnam.png,VNM,Asia,South-eastern Asia
Yemen,Flag_of_Yemen.png,YEM,Asia,Western Asia
Zambia,Flag_of_Zambia.png,ZMB,Africa,Sub-Saharan Africa
Zimbabwe,Flag_of_Zimbabwe.png,ZWE,Africa,Sub-Saharan Africa
Cook Islands,Flag_of_the_Cook_Islands.png,COK,Oceania,Polynesia
Niue,Flag_of_Niue.png,NIU,Oceania,Polynesia
